idx,timestamp,symbol,open,high,low,close,volume
549337,2022-12-01 07.40.00,BTC/USDT,17116.25,17119.92,17110.84,17118.11,524
549338,2022-12-01 07.45.00,BTC/USDT,17118.11,17119.95,17108.67,17114.42,424
549339,2022-12-01 07.50.00,BTC/USDT,17114.42,17114.44,17076.68,17085.1,930
549340,2022-12-01 07.55.00,BTC/USDT,17085.1,17098.66,17064.11,17070.21,987
549341,2022-12-01 08.00.00,BTC/USDT,17070.21,17090.43,17066.7,17081.46,926
549342,2022-12-01 08.05.00,BTC/USDT,17081.46,17087.36,17060.55,17064.56,995
549343,2022-12-01 08.10.00,BTC/USDT,17064.65,17079.44,17058.51,17077.59,849
549344,2022-12-01 08.15.00,BTC/USDT,17077.59,17085.99,17073.1,17083.21,627
549345,2022-12-01 08.20.00,BTC/USDT,17083.21,17087.36,17073.4,17079.52,605
549346,2022-12-01 08.25.00,BTC/USDT,17079.97,17086.28,17075.0,17077.65,457
549347,2022-12-01 08.30.00,BTC/USDT,17077.65,17087.34,17076.67,17080.84,570
549348,2022-12-01 08.35.00,BTC/USDT,17081.01,17099.88,17078.07,17094.35,688
549349,2022-12-01 08.40.00,BTC/USDT,17094.35,17107.7,17092.75,17106.63,673
549350,2022-12-01 08.45.00,BTC/USDT,17107.27,17137.75,17102.13,17133.47,1713
549351,2022-12-01 08.50.00,BTC/USDT,17133.63,17137.11,17113.29,17120.75,979
549352,2022-12-01 08.55.00,BTC/USDT,17121.78,17121.83,17107.5,17110.79,684
549353,2022-12-01 09.00.00,BTC/USDT,17110.79,17115.34,17106.46,17108.57,690
549354,2022-12-01 09.05.00,BTC/USDT,17108.57,17110.0,17089.48,17092.84,925
549355,2022-12-01 09.10.00,BTC/USDT,17092.85,17103.5,17090.0,17091.51,667
549356,2022-12-01 09.15.00,BTC/USDT,17091.51,17102.18,17090.0,17100.28,502
549357,2022-12-01 09.20.00,BTC/USDT,17099.7,17101.68,17090.52,17094.85,621
549358,2022-12-01 09.25.00,BTC/USDT,17094.42,17103.19,17086.01,17099.21,794
549359,2022-12-01 09.30.00,BTC/USDT,17099.7,17102.02,17086.43,17092.91,620
549360,2022-12-01 09.35.00,BTC/USDT,17092.81,17102.78,17092.09,17095.25,625
549361,2022-12-01 09.40.00,BTC/USDT,17095.25,17110.91,17094.0,17102.47,824
549362,2022-12-01 09.45.00,BTC/USDT,17102.47,17115.73,17096.96,17111.5,863
549363,2022-12-01 09.50.00,BTC/USDT,17111.5,17114.05,17104.01,17104.82,502
549364,2022-12-01 09.55.00,BTC/USDT,17104.82,17119.25,17104.46,17111.7,783
549365,2022-12-01 10.00.00,BTC/USDT,17111.4,17113.66,17102.36,17112.27,700
549366,2022-12-01 10.05.00,BTC/USDT,17112.27,17113.98,17103.16,17110.21,585
549367,2022-12-01 10.10.00,BTC/USDT,17109.93,17110.81,17101.76,17108.28,430
549368,2022-12-01 10.15.00,BTC/USDT,17108.16,17109.04,17100.0,17101.72,402
549369,2022-12-01 10.20.00,BTC/USDT,17102.27,17108.0,17090.59,17094.31,537
549370,2022-12-01 10.25.00,BTC/USDT,17095.13,17098.93,17086.01,17090.74,617
549371,2022-12-01 10.30.00,BTC/USDT,17090.31,17111.91,17089.86,17097.53,616
549372,2022-12-01 10.35.00,BTC/USDT,17097.53,17101.34,17088.01,17096.74,516
549373,2022-12-01 10.40.00,BTC/USDT,17096.73,17105.68,17095.46,17102.7,487
549374,2022-12-01 10.45.00,BTC/USDT,17102.7,17106.0,17097.49,17103.99,429
549375,2022-12-01 10.50.00,BTC/USDT,17103.99,17103.99,17093.57,17099.28,549
549376,2022-12-01 10.55.00,BTC/USDT,17099.16,17100.67,17091.03,17096.31,649
549377,2022-12-01 11.00.00,BTC/USDT,17096.31,17097.39,17060.0,17076.19,1501
549378,2022-12-01 11.05.00,BTC/USDT,17077.02,17090.85,17074.0,17080.72,719
549379,2022-12-01 11.10.00,BTC/USDT,17080.44,17085.6,17070.3,17084.46,606
549380,2022-12-01 11.15.00,BTC/USDT,17084.86,17091.36,17080.26,17087.23,576
549381,2022-12-01 11.20.00,BTC/USDT,17087.23,17090.0,17073.0,17073.13,538
549382,2022-12-01 11.25.00,BTC/USDT,17073.69,17074.27,17042.37,17068.1,1026
549383,2022-12-01 11.30.00,BTC/USDT,17068.1,17076.81,17064.83,17073.73,581
549384,2022-12-01 11.35.00,BTC/USDT,17073.72,17079.57,17068.2,17074.71,625
549385,2022-12-01 11.40.00,BTC/USDT,17074.29,17084.38,17072.65,17084.08,493
549386,2022-12-01 11.45.00,BTC/USDT,17083.99,17097.75,17077.81,17095.58,772
549387,2022-12-01 11.50.00,BTC/USDT,17095.58,17104.01,17092.86,17102.4,979
549388,2022-12-01 11.55.00,BTC/USDT,17101.93,17107.74,17100.0,17102.47,524
549389,2022-12-01 12.00.00,BTC/USDT,17102.47,17119.84,17100.0,17109.81,891
549390,2022-12-01 12.05.00,BTC/USDT,17109.81,17117.98,17100.46,17111.7,741
549391,2022-12-01 12.10.00,BTC/USDT,17111.7,17137.97,17110.96,17124.26,1093
549392,2022-12-01 12.15.00,BTC/USDT,17124.26,17156.33,17124.26,17127.08,1594
549393,2022-12-01 12.20.00,BTC/USDT,17127.08,17128.29,17109.42,17112.82,689
549394,2022-12-01 12.25.00,BTC/USDT,17112.28,17116.32,17102.91,17114.68,675
549395,2022-12-01 12.30.00,BTC/USDT,17115.08,17145.87,17110.88,17132.09,1183
549396,2022-12-01 12.35.00,BTC/USDT,17132.52,17136.69,17118.21,17121.3,801
549397,2022-12-01 12.40.00,BTC/USDT,17121.31,17148.99,17121.3,17139.15,712
549398,2022-12-01 12.45.00,BTC/USDT,17139.81,17140.79,17115.73,17135.8,793
549399,2022-12-01 12.50.00,BTC/USDT,17135.05,17138.43,17126.27,17129.28,517
549400,2022-12-01 12.55.00,BTC/USDT,17129.28,17142.88,17127.63,17136.27,536
549401,2022-12-01 13.00.00,BTC/USDT,17136.27,17137.75,17120.01,17129.99,713
549402,2022-12-01 13.05.00,BTC/USDT,17129.99,17153.66,17121.55,17151.1,1216
549403,2022-12-01 13.10.00,BTC/USDT,17151.1,17151.74,17130.68,17137.59,783
549404,2022-12-01 13.15.00,BTC/USDT,17137.19,17138.23,17120.0,17123.17,683
549405,2022-12-01 13.20.00,BTC/USDT,17123.17,17138.65,17121.58,17130.37,560
549406,2022-12-01 13.25.00,BTC/USDT,17130.37,17145.01,17129.03,17132.25,576
549407,2022-12-01 13.30.00,BTC/USDT,17131.84,17324.0,17091.85,17212.66,5328
549408,2022-12-01 13.35.00,BTC/USDT,17213.79,17216.66,17132.53,17191.26,2364
549409,2022-12-01 13.40.00,BTC/USDT,17191.26,17195.71,17120.1,17133.61,2065
549410,2022-12-01 13.45.00,BTC/USDT,17133.98,17135.83,17009.71,17012.93,4481
549411,2022-12-01 13.50.00,BTC/USDT,17011.79,17068.54,16974.44,17057.35,2845
549412,2022-12-01 13.55.00,BTC/USDT,17057.35,17107.26,17047.94,17088.86,2101
549413,2022-12-01 14.00.00,BTC/USDT,17089.84,17090.0,17037.4,17043.71,1602
549414,2022-12-01 14.05.00,BTC/USDT,17043.71,17100.0,17038.32,17097.39,1445
549415,2022-12-01 14.10.00,BTC/USDT,17097.39,17112.63,17075.39,17081.82,1535
549416,2022-12-01 14.15.00,BTC/USDT,17082.78,17084.71,17040.47,17041.78,1284
549417,2022-12-01 14.20.00,BTC/USDT,17041.09,17062.33,17027.66,17051.09,1477
549418,2022-12-01 14.25.00,BTC/USDT,17051.09,17060.94,17028.79,17032.67,2180
549419,2022-12-01 14.30.00,BTC/USDT,17032.67,17076.0,17028.14,17058.95,1730
549420,2022-12-01 14.35.00,BTC/USDT,17059.44,17088.02,17056.88,17060.26,1248
549421,2022-12-01 14.40.00,BTC/USDT,17060.26,17079.17,17054.98,17071.09,936
549422,2022-12-01 14.45.00,BTC/USDT,17071.09,17095.02,17067.72,17092.82,1148
549423,2022-12-01 14.50.00,BTC/USDT,17092.05,17118.45,17089.31,17114.93,1199
549424,2022-12-01 14.55.00,BTC/USDT,17114.25,17143.78,17099.0,17104.27,1411
549425,2022-12-01 15.00.00,BTC/USDT,17104.27,17145.58,17075.43,17103.44,2434
549426,2022-12-01 15.05.00,BTC/USDT,17101.65,17107.97,17065.0,17078.92,1290
549427,2022-12-01 15.10.00,BTC/USDT,17077.99,17084.9,17001.41,17016.46,2223
549428,2022-12-01 15.15.00,BTC/USDT,17016.46,17034.5,16945.0,16968.56,3407
549429,2022-12-01 15.20.00,BTC/USDT,16968.56,16988.11,16926.0,16953.66,2400
549430,2022-12-01 15.25.00,BTC/USDT,16954.08,16971.7,16941.55,16949.74,1823
549431,2022-12-01 15.30.00,BTC/USDT,16949.74,16968.24,16895.02,16961.13,2665
549432,2022-12-01 15.35.00,BTC/USDT,16961.13,16978.63,16953.06,16961.04,1265
549433,2022-12-01 15.40.00,BTC/USDT,16960.1,16963.95,16940.01,16945.28,1204
549434,2022-12-01 15.45.00,BTC/USDT,16945.94,16971.72,16938.34,16970.25,1093
549435,2022-12-01 15.50.00,BTC/USDT,16968.95,16988.67,16963.74,16969.96,1024
549436,2022-12-01 15.55.00,BTC/USDT,16969.96,16978.37,16954.28,16977.67,1015
549437,2022-12-01 16.00.00,BTC/USDT,16977.6,16981.23,16964.4,16977.44,814
549438,2022-12-01 16.05.00,BTC/USDT,16976.53,16982.89,16957.06,16971.67,825
549439,2022-12-01 16.10.00,BTC/USDT,16971.67,16973.78,16950.77,16951.77,886
549440,2022-12-01 16.15.00,BTC/USDT,16951.77,16953.31,16919.4,16937.92,960
549441,2022-12-01 16.20.00,BTC/USDT,16937.92,16963.03,16935.92,16955.28,874
549442,2022-12-01 16.25.00,BTC/USDT,16955.28,16965.56,16947.86,16953.44,796
549443,2022-12-01 16.30.00,BTC/USDT,16953.44,16971.33,16946.46,16967.3,1241
549444,2022-12-01 16.35.00,BTC/USDT,16967.3,16990.96,16962.0,16990.45,1253
549445,2022-12-01 16.40.00,BTC/USDT,16990.45,16993.0,16975.77,16988.93,874
549446,2022-12-01 16.45.00,BTC/USDT,16988.93,17000.0,16975.0,16976.83,987
549447,2022-12-01 16.50.00,BTC/USDT,16976.83,16984.99,16969.0,16975.23,730
