candle_begin_time,symbol,"ATRV_[3, 9]","PVO_[3, 9]","AtrVolatility_[3, 9, 0.3]"
2021-01-01 01:00:00,ZIL-USDT,0.03488362936163747,0.026149922243769972,
2021-01-01 01:00:00,IOST-USDT,0.03278703350145151,0.5870638084160189,
2021-01-01 01:00:00,BTC-USDT,0.031261411755324486,0.32198829256463257,
2021-01-01 01:00:00,WAVES-USDT,0.0066586236812524735,0.2957423268424985,
2021-01-01 01:00:00,THETA-USDT,0.006349210769229563,0.0035312091131118246,
2021-01-01 01:00:00,EOS-USDT,-0.030322795554688642,0.3575721600090222,
2021-01-01 01:00:00,UNI-USDT,-0.032464548530147685,0.11247226636782971,
2021-01-01 01:00:00,SRM-USDT,-0.041575717327046235,0.6937832302634628,
2021-01-01 01:00:00,CTK-USDT,-0.04796663561673409,0.06083236502299386,
2021-01-01 01:00:00,ICX-USDT,-0.053685695153346424,0.35449314001424,
