报告日期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31
应收票据(万元),0.0,0.0,0.0,150.0,216.0,279.0,213.0,490.0,702.0,585.0,213.0,263.0,374.0,531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,0.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,3450.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970.0,2970,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收补贴款(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款(万元),66997.0,50394.0,73084.0,80570.0,81489.0,92697.0,50572.0,57134.0,51297.0,39033.0,35584.0,37674.0,31166.0,23903.0,0.0,0.0,66.0,66.0,1147.0,1279.0,765.0,764.0,1520.0,928.0,2659.0,2659.0,36.0,39.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,131.0,154.0,178.0,170.0,232.0
开发支出(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
归属于母公司股东权益合计(万元),605676.0,646787.0,604208.0,621344.0,649461.0,638008.0,608293.0,600726.0,591637.0,581721.0,564561.0,567584.0,426409.0,420166.0,-18529.0,-17338.0,-16266.0,-15183.0,3290.0,3278.0,3505.0,4272.0,2198.0,948.0,606.0,860.0,-28822.0,-28276.0,-28351.0,-27899.0,-30243.0,-30256.0,-30218.0,-29663.0,-29073.0,-28585.0,-28119.0,-27532.0,-26913.0,-26502,-27737,-27008,-26738.0,-26569.0,-26677.0,-27324.0,-27140.0,-29953.0,-30191.0,-30497.0,-29552.0,-38326.0,-38442.0,-38479.0
待处理流动资产损益(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
所有者权益(或股东权益)合计(万元),635313.0,676118.0,633778.0,630323.0,658440.0,649161.0,620818.0,603874.0,594923.0,584588.0,590444.0,569494.0,426409.0,420166.0,-17729.0,-16460.0,-15317.0,-14166.0,8039.0,7968.0,8204.0,9059.0,7083.0,5860.0,5438.0,5753.0,-28822.0,-28276.0,-28351.0,-27899.0,-30243.0,-30256.0,-30218.0,-29663.0,-29073.0,-28585.0,-28119.0,-27532.0,-26913.0,-26502,-27737,-27008,-26738.0,-26569.0,-26677.0,-27324.0,-27140.0,-29953.0,-30120.0,-30437.0,-29491.0,-38267.0,-38383.0,-38419.0
投资性房地产(万元),527998.0,527998.0,534777.0,534722.0,535832.0,535813.0,537940.0,537880.0,545469.0,545434.0,544077.0,543364.0,541570.0,541268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
